EREIGNISJAHR_N;Bezirk;1_F;1_M;2_F;2_M;3_F;3_M;4_F;4_M;5_F;5_M;6_F;6_M;7_F;7_M;8_F;8_M;9_F;9_M;10_F;10_M;11_F;11_M;12_F;12_M;13_F;13_M;14_F;14_M;15_F;15_M;16_F;16_M;17_F;17_M;18_F;18_M;19_F;19_M;20_F;20_M
2012;2108;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;5;2;4;NA;2;2;2;5;2;6;5;4;4;5;1
2012;2221;NA;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1;NA;2;1;5;4;2;2;6;7;7;5;16;11;16;7;18;20;24;26;27;41;29;30;19;15;9
2012;2222;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;1;NA;2;NA;NA;2;1;1;4;6;1;3;5;7;5;18;7;15;15;20;19;18;27;21;24;17;10;4
2012;2223;1;NA;NA;NA;1;1;NA;NA;NA;NA;NA;1;NA;NA;2;NA;NA;1;1;3;3;2;2;3;6;12;5;10;6;12;11;19;18;23;30;22;18;15;13;3
2012;2224;2;2;1;NA;NA;NA;NA;NA;1;2;NA;1;1;1;2;2;NA;4;7;8;9;13;11;13;14;25;13;36;18;34;38;32;61;59;74;74;71;39;43;12
2012;2225;3;4;NA;NA;NA;NA;NA;NA;NA;1;2;3;3;2;1;1;6;11;10;8;12;13;14;21;22;32;23;41;50;46;61;57;98;77;150;102;151;72;79;26
2012;2226;NA;3;NA;NA;NA;NA;NA;NA;NA;2;NA;1;NA;1;NA;2;NA;4;3;3;1;5;2;13;9;15;10;8;16;29;28;23;40;36;60;38;52;46;40;18
2012;2227;2;4;NA;NA;NA;1;NA;NA;1;2;1;1;NA;1;1;2;2;4;7;3;7;9;5;14;10;18;14;21;13;16;25;31;33;38;52;38;57;26;43;5
2012;2228;4;3;1;NA;NA;NA;1;1;1;2;NA;NA;NA;NA;2;4;1;4;4;4;11;7;9;13;12;22;16;22;12;18;18;26;40;32;50;33;52;20;18;11
2012;2229;1;NA;NA;NA;NA;NA;1;NA;NA;2;NA;2;1;5;1;3;NA;1;2;2;4;6;9;8;13;12;15;21;17;22;22;32;42;29;35;37;33;23;26;1
2012;2230;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;3;2;2;4;3;7;9;5;8;14;13;11;15;18;26;24;30;40;48;59;74;103;67;103;37;65;15
2012;2301;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1;NA;1;3;1;4;3;2;4;1;4;5;8;8;10;12;20;16;17;22;18;24;5;13;6
2012;2302;NA;1;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;2;1;1;6;3;3;4;3;8;2;8;6;9;8;11;16;15;20;13;16;9;16;1
2012;2303;NA;NA;NA;NA;NA;1;NA;1;NA;1;NA;1;NA;NA;NA;2;NA;NA;1;2;NA;NA;NA;2;2;1;NA;7;2;5;6;10;7;8;5;9;12;7;5;NA
2012;2304;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;2;1;NA;2;1;3;3;1;3;NA;2;7;8;2;5;5;1;2;1
2012;2305;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;2;4;NA;NA;5;2;7;3;5;NA;7;4;7;16;10;10;2;2;3
2012;2306;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA;NA;2;2;4;NA;4;2;5;2;3;6;12;8;17;15;9;8;2;5;3
2012;2307;NA;2;NA;NA;NA;NA;NA;1;NA;NA;1;NA;1;3;NA;NA;1;2;1;6;6;4;4;9;3;8;12;17;17;13;14;17;33;29;41;20;33;11;17;2
2012;2308;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;3;1;NA;NA;1;1;4;NA;5;1;7;9;6;2;17;9;15;9;25;28;18;32;29;15;12;8;1
2012;2309;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA;1;NA;6;3;3;3;11;5;6;4;9;6;9;10;9;8;5;1;1
2012;2310;NA;1;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;1;NA;NA;NA;1;NA;3;1;2;2;1;2;3;4;12;1;7;5;9;5;4;16;2;12;3;NA;NA
2012;2311;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;1;3;2;1;4;2;3;6;6;5;5;26;10;18;11;18;8;18;27;27;42;24;34;13;12;4
2012;2312;1;1;NA;NA;NA;NA;NA;NA;NA;2;NA;1;NA;1;1;5;1;2;6;2;1;4;5;5;4;9;5;17;10;15;14;25;39;32;58;29;26;24;18;4
2012;2313;1;2;NA;NA;NA;1;NA;NA;NA;1;1;NA;NA;NA;1;1;NA;1;1;5;2;5;1;11;2;3;7;6;9;10;9;19;21;23;19;18;16;10;11;3
2012;2407;3;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;2;NA;3;1;3;2;3;7;6;4;8;9;20;15;22;30;32;26;40;43;48;89;56;92;49;104;45;51;13
2012;2408;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;3;1;1;2;1;1;3;2;NA;3;1;5;6;5;5;4;10;9;12;7;11;6;5;NA
2012;2409;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;1;2;2;2;1;2;2;4;3;6;4;7;7;10;8;11;13;17;18;7;9;2
2012;2410;2;NA;NA;NA;NA;NA;NA;2;NA;2;1;NA;NA;2;1;2;1;3;NA;10;1;7;8;12;6;16;12;24;10;20;21;39;50;39;69;63;52;31;38;9
2012;2501;4;1;1;1;1;NA;NA;1;1;7;NA;2;1;1;5;4;8;11;9;13;14;22;19;26;31;40;46;39;42;53;64;67;123;74;167;84;144;81;97;19
2012;2502;NA;NA;NA;NA;NA;NA;NA;2;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;4;3;3;4;8;6;12;9;14;15;16;13;28;31;34;44;46;47;24;34;17
2012;2503;1;1;NA;NA;NA;NA;NA;1;1;1;NA;2;NA;2;2;3;3;NA;6;2;5;5;6;23;14;16;22;27;22;30;25;38;39;50;55;44;46;21;21;10
2012;2504;2;3;NA;1;1;NA;NA;NA;1;NA;NA;NA;NA;2;NA;4;2;2;5;6;7;12;14;17;12;20;16;30;34;44;41;52;81;83;83;53;69;40;44;14
2012;2601;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;1;4;4;2;1;3;5;4;8;15;8;8;10;17;14;26;28;19;34;30;30;17;13;6
2012;2602;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;2;NA;NA;NA;NA;1;1;3;1;1;3;1;3;2;3;4;7;4;3;6;2;9;9;5;5;2;NA
2012;2603;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;1;1;1;2;3;1;4;2;6;5;9;10;5;11;9;10;22;23;24;34;23;25;15;15;4
2013;101;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;NA;NA;NA;NA;1;2;6;2;6;4;5;7;12;11;16;12;19;21;23;23;34;26;25;26;20;12;3
2013;102;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA;NA;4;3;7;4;5;5;8;10;5;7;13;21;20;25;10;29;12;7;1
2013;103;2;6;NA;NA;NA;NA;NA;1;NA;NA;NA;2;NA;4;3;3;3;5;5;8;9;19;15;18;18;24;22;32;40;53;48;50;63;66;109;70;87;34;37;12
2013;104;3;2;NA;NA;NA;NA;NA;NA;NA;2;1;NA;NA;2;1;2;NA;5;6;6;4;8;7;13;13;23;17;29;22;26;22;38;34;32;37;38;34;21;8;7
2013;105;1;1;1;NA;1;NA;NA;2;1;2;1;2;1;2;1;2;1;1;6;5;7;9;16;14;9;27;18;26;26;27;36;49;43;55;95;58;62;36;21;13
2013;106;4;3;NA;NA;NA;1;NA;NA;NA;2;NA;1;1;1;1;3;1;3;5;6;5;17;7;20;9;22;22;28;33;48;40;72;81;69;139;84;97;45;47;21
2013;107;5;6;NA;NA;NA;NA;1;NA;NA;1;1;2;1;NA;2;NA;4;4;5;9;9;7;10;14;11;16;21;20;31;38;40;41;68;61;94;68;91;61;49;23
2013;108;NA;NA;1;NA;NA;NA;NA;NA;1;NA;NA;2;NA;NA;1;NA;1;4;1;4;7;2;3;9;7;9;6;18;14;22;19;21;34;37;39;33;38;12;6;5
2013;109;3;NA;NA;NA;NA;1;NA;NA;NA;NA;1;2;NA;NA;1;2;6;3;4;10;8;13;6;19;17;24;27;44;34;38;35;47;70;65;88;52;61;32;30;12
2013;110;4;5;2;NA;NA;NA;2;NA;NA;2;1;4;2;2;1;4;7;9;8;19;7;16;14;18;18;32;28;50;30;53;49;77;97;94;167;90;146;61;52;12
2013;111;1;4;NA;NA;NA;1;NA;NA;NA;NA;1;NA;1;2;1;3;2;9;4;5;9;8;7;20;15;16;18;21;19;29;39;45;56;62;75;43;79;27;21;6
2013;112;12;11;NA;1;1;NA;1;4;1;1;3;6;4;7;5;12;11;16;22;27;25;44;30;50;55;85;65;89;117;129;146;171;319;247;491;311;458;180;243;55
2013;241;2;1;NA;NA;NA;NA;NA;NA;1;1;NA;NA;1;2;1;NA;1;4;3;8;2;6;4;19;6;14;10;22;20;18;31;37;47;51;72;37;45;37;30;7
2013;242;3;4;NA;NA;NA;NA;NA;1;1;NA;1;2;1;1;NA;4;2;3;3;14;8;14;14;17;14;28;20;43;36;51;43;59;84;74;128;79;134;49;39;10
2013;243;NA;2;NA;NA;NA;NA;NA;NA;NA;1;2;2;2;NA;1;1;2;3;5;6;6;10;12;12;12;13;17;26;16;32;35;44;42;44;78;59;46;26;23;9
2013;244;2;NA;NA;NA;1;NA;1;2;NA;NA;NA;2;1;1;4;2;2;4;4;2;8;7;7;21;8;22;20;27;23;30;34;50;53;53;98;57;70;49;41;11
2013;245;NA;3;NA;NA;NA;1;NA;1;1;1;NA;2;NA;3;NA;1;NA;5;6;3;8;9;11;17;13;27;12;30;24;33;29;55;68;77;128;79;102;55;41;18
2013;246;4;14;NA;2;NA;1;4;6;2;3;2;11;6;6;6;3;6;14;19;27;27;55;52;76;62;94;101;137;116;145;185;191;312;320;444;316;462;226;232;70
2013;247;1;2;NA;NA;NA;1;NA;4;1;3;2;1;1;1;4;1;2;5;1;4;11;11;9;14;13;36;22;34;32;36;41;65;92;104;123;68;142;56;45;30
2013;248;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;1;2;NA;NA;NA;NA;NA;1;2;1;NA;4;NA;2;2;6;5;3;7;4;20;16;18;13;19;5;12;4
2013;249;1;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1;NA;3;NA;2;3;2;2;6;7;4;2;8;4;13;11;11;19;27;33;26;64;37;51;25;23;6
2013;250;NA;NA;NA;NA;NA;NA;NA;1;1;1;NA;1;1;1;NA;1;NA;2;NA;5;1;7;9;8;7;16;8;16;12;16;25;30;34;49;48;39;64;22;28;7
2013;311;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;NA;2;1;2;1;10;2;9;11;12;11;12;16;21;19;38;36;41;75;65;94;60;102;44;49;16
2013;312;NA;2;NA;1;1;2;NA;NA;1;NA;2;2;NA;1;2;3;1;1;6;7;2;9;8;12;11;23;18;29;22;40;34;55;67;81;77;45;59;37;23;15
2013;313;1;NA;NA;1;NA;NA;NA;3;NA;1;NA;1;NA;1;1;NA;1;3;1;3;3;11;7;11;7;11;10;21;11;25;24;23;43;37;65;37;37;28;23;8
2013;314;2;NA;NA;NA;NA;NA;1;1;NA;NA;NA;3;1;2;NA;NA;1;1;2;4;3;9;4;10;2;13;8;10;11;16;19;41;39;41;38;30;28;18;11;2
2013;315;3;NA;NA;NA;NA;NA;1;1;NA;1;NA;NA;2;1;1;NA;2;3;2;5;5;5;7;10;5;12;8;14;12;15;17;27;41;32;34;24;36;22;14;4
2013;316;NA;1;NA;NA;NA;NA;NA;NA;NA;1;NA;3;NA;NA;1;1;2;1;1;NA;2;3;2;1;4;7;6;7;8;9;9;12;13;14;36;23;22;11;5;4
2013;400;NA;3;NA;NA;NA;NA;1;1;1;NA;NA;1;NA;2;NA;2;NA;1;1;1;3;5;5;7;1;9;12;11;11;14;14;18;31;28;40;40;34;21;16;7
2013;501;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;1;NA;NA;1;1;1;2;1;1;2;3;6;2;7;12;12;12;8;10;6;2;2
2013;502;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA;NA;NA;NA;2;1;1;1;1;1;NA;4;1;1;3;1;NA
2013;503;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;7;4;2;7;3;4;10;5;7;5;4;11;13;13;19;19;21;16;9;4;5
2013;504;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;1;1;2;2;NA;1;1;4;NA;3;3;8;10;4;7;6;10;5;13;3;2
2013;505;NA;3;NA;NA;NA;NA;NA;NA;1;1;NA;NA;NA;1;2;NA;2;2;1;5;6;8;1;5;6;9;4;9;5;14;10;17;27;27;22;22;19;11;8;2
2013;506;1;NA;1;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;3;1;NA;3;2;2;7;4;6;6;4;6;18;12;21;19;22;19;21;36;36;50;33;53;22;27;8
2013;600;1;1;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;1;NA;NA;NA;2;3;4;NA;3;7;7;2;10;5;9;6;17;11;15;27;23;29;27;27;21;11;7
2013;700;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;2;1;3;5;3;6;6;9;11;8;6;20;6;26;14;18;18;27;34;29;21;10;15;5
2013;800;NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;2;NA;1;3;4;5;1;13;4;12;7;15;6;17;16;19;32;29;39;33;35;22;18;5
2013;900;3;NA;NA;1;NA;NA;NA;NA;1;1;NA;6;1;3;1;2;NA;4;4;4;6;12;10;14;8;11;22;28;35;40;40;63;65;76;88;60;63;38;42;9
2013;1001;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;NA;NA;NA;NA;2;NA;1;1;2;1;5;7;7;4;9;5;8;5;9;11;14;13;18;17;13;19;10;7;5
2013;1002;NA;NA;NA;NA;1;NA;NA;1;NA;1;1;1;NA;NA;NA;NA;2;2;1;1;3;2;NA;4;3;10;3;9;3;6;8;9;7;14;13;12;13;7;3;2
2013;1003;1;3;NA;1;NA;NA;NA;NA;NA;NA;NA;1;NA;2;NA;3;1;1;2;1;5;8;2;9;5;14;5;16;6;17;21;21;14;32;39;32;30;12;10;6
2013;1004;1;1;NA;NA;NA;NA;1;NA;NA;NA;NA;2;NA;NA;1;3;3;4;3;4;5;7;13;22;11;15;21;29;20;30;30;22;58;42;66;62;70;31;38;9
2013;1005;NA;2;1;NA;NA;1;NA;1;NA;1;NA;1;1;NA;1;1;1;NA;2;3;4;3;1;9;4;7;7;18;6;10;16;21;15;26;28;23;19;18;8;3
2013;1006;1;3;NA;NA;NA;NA;1;NA;NA;2;NA;1;1;NA;1;NA;2;5;NA;2;1;2;2;6;4;8;6;19;13;28;9;17;26;25;33;22;26;14;10;3
2013;1007;NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA;NA;NA;NA;1;NA;1;2;1;3;2;1;NA;2;4;5;3;5;3;12;7;9;9;9;13;8;11;3;3;1
2013;1101;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;NA;NA;1;2;2;1;4;6;4;1;9;5;4;7;8;8;11;8;13;9;1;5;2
2013;1102;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;2;NA;3;1;2;1;3;1;6;3;10;3;11;11;16;19;11;19;5;3;1
2013;1103;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;1;NA;2;1;3;NA;4;3;3;3;4;8;6;10;10;8;5;3;1
2013;1104;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;1;1;NA;1;2;NA;3;3;2;NA;2;2;4;6;5;8;5;6;7;16;13;12;15;10;3;NA
2013;1105;NA;1;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;1;NA;NA;1;1;1;1;NA;1;NA;5;3;9;1;9;12;4;8;14;18;21;20;21;15;7;12;6
2013;1106;1;3;NA;NA;NA;NA;NA;NA;NA;1;1;1;NA;3;2;1;1;2;6;4;5;3;3;10;5;9;13;10;14;22;25;26;33;43;63;36;44;25;12;7
2013;1107;2;1;NA;NA;NA;NA;NA;NA;1;1;1;NA;NA;1;NA;1;1;3;NA;4;5;6;5;13;6;9;13;7;12;35;19;25;44;37;60;31;45;22;32;7
2013;1108;NA;3;NA;1;NA;NA;NA;NA;1;1;NA;1;NA;2;2;1;4;NA;3;5;7;6;3;5;5;12;4;15;10;22;18;32;43;40;56;36;59;20;21;9
2013;1109;NA;1;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;5;1;1;1;2;3;3;8;9;6;8;13;12;34;14;25;6;15;6
2013;1110;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;2;2;1;3;NA;5;4;4;1;5;2;6;4;11;10;12;13;15;6;8;7;3
2013;1200;4;8;NA;NA;NA;1;NA;1;2;3;1;4;5;5;4;9;7;15;8;11;16;23;25;30;23;42;46;52;57;89;107;109;196;159;244;183;249;107;144;37
2013;1301;NA;7;NA;NA;NA;NA;NA;NA;1;2;1;1;NA;1;3;3;2;4;4;16;11;13;18;24;22;29;40;46;44;67;81;87;128;137;171;136;152;69;52;21
2013;1302;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;NA;NA;2;1;1;1;5;2;NA;3;2;1;7;8;4;9;10;14;11;12;15;10;4;4;3
2013;1303;1;1;NA;NA;NA;NA;NA;NA;NA;2;1;NA;NA;NA;2;1;1;6;2;4;2;1;12;9;10;7;10;31;17;30;21;30;39;34;56;52;40;27;15;7
2013;1304;1;1;NA;NA;1;NA;NA;NA;1;1;NA;NA;NA;NA;1;2;2;4;1;2;2;NA;3;9;5;NA;6;10;9;12;9;18;25;21;35;18;37;12;7;1
2013;1305;1;1;NA;NA;NA;NA;NA;2;NA;1;NA;NA;NA;NA;NA;NA;NA;2;1;1;NA;2;NA;7;3;5;3;3;3;7;8;9;5;5;16;6;9;9;5;NA
2013;1400;3;1;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;5;1;1;1;6;5;10;11;11;8;8;15;23;19;24;20;35;32;46;56;57;91;60;82;45;34;11
2013;1501;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;NA;2;1;4;1;4;3;12;5;6;12;16;9;15;19;17;22;14;19;17;18;4
2013;1502;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1;2;NA;NA;NA;3;1;4;9;6;6;11;7;6;13;8;18;21;17;13;5;2
2013;1503;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;2;2;1;3;3;1;9;1;3;7;3;11;10;13;14;24;9;7;3
2013;1600;NA;2;NA;NA;NA;NA;NA;NA;NA;1;NA;2;NA;1;NA;NA;NA;NA;NA;2;1;NA;NA;2;2;3;2;3;3;9;5;5;9;14;26;18;11;10;3;4
2013;1721;3;2;NA;1;2;NA;NA;NA;1;1;NA;6;2;2;2;3;2;3;5;5;6;16;12;16;17;31;18;33;38;46;47;49;71;82;138;73;117;54;58;24
2013;1722;1;2;NA;NA;NA;NA;2;1;NA;NA;NA;1;NA;1;1;2;NA;2;2;5;5;5;3;13;5;6;9;13;15;19;21;25;30;30;49;29;42;10;14;7
2013;1723;3;2;1;NA;1;NA;NA;NA;NA;1;NA;NA;1;NA;1;2;1;3;3;8;6;8;8;10;7;21;16;28;21;26;25;32;40;40;47;36;47;19;9;7
2013;1724;NA;NA;NA;NA;NA;NA;NA;NA;2;2;NA;NA;1;NA;NA;1;NA;NA;NA;1;2;5;NA;13;5;13;4;13;4;15;15;22;21;27;30;11;27;12;5;5
2013;1725;NA;2;NA;1;NA;NA;NA;NA;NA;1;NA;1;NA;1;NA;NA;1;1;NA;1;2;6;4;10;9;18;11;17;13;21;16;22;29;20;29;15;27;10;14;4
2013;1726;NA;1;NA;NA;NA;NA;1;1;NA;NA;NA;1;1;NA;NA;1;1;3;NA;1;3;6;4;10;9;10;15;10;15;21;18;28;27;41;66;29;41;16;19;6
2013;1727;NA;1;NA;NA;1;NA;NA;NA;1;2;NA;2;NA;1;NA;1;NA;2;3;3;5;7;4;13;12;8;8;11;9;16;24;15;38;43;41;33;44;26;14;7
2013;1728;NA;1;NA;NA;NA;NA;NA;1;NA;2;NA;3;NA;1;4;3;3;4;3;7;3;3;5;12;6;12;15;17;17;26;28;29;45;38;54;47;67;21;21;7
2013;1841;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;1;NA;NA;2;2;2;2;3;5;5;6;7;8;7;4;5;3;7;2
2013;1842;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;1;NA;NA;1;1;3;1;2;2;6;4;1;5;2;7;6;9;2;3;2
2013;1843;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA;NA;1;NA;2;NA;2;3;5;1;6;1;5;7;6;15;12;12;4;1;NA
2013;1844;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1;1;1;2;2;2;1;NA;4;5;5;6;2;5;2;6;8;11;22;13;12;9;4;1
2013;1845;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;2;3;NA;3;6;1;2;2;5;1;5;6;12;6;10;21;18;24;16;20;11;6;2
2013;1846;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;NA;1;1;1;NA;NA;3;2;3;5;4;3;7;4;12;4;7;11;10;12;13;10;5;4;NA
2013;1847;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;1;NA;NA;2;1;3;1;3;5;7;8;9;7;9;6;7;9;2;5;1
2013;1848;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;5;2;4;4;3;7;5;12;8;8;11;15;13;19;20;20;37;28;46;23;54;19;25;5
2013;1849;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;1;NA;NA;NA;NA;NA;1;NA;2;2;4;1;NA;5;6;6;9;6;7;12;11;16;19;30;19;30;13;8;5
2013;1850;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1;2;2;NA;NA;3;4;5;7;11;2;16;15;14;12;18;32;22;27;15;14;3
2013;1851;1;1;NA;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;1;1;NA;3;1;3;2;3;3;8;9;5;9;9;7;4;16;9;13;7;3;NA
2013;1901;NA;2;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;1;1;1;NA;2;5;5;6;3;6;8;4;10;17;16;20;19;31;28;36;61;54;55;48;65;30;30;7
2013;1902;9;7;NA;NA;1;NA;2;NA;NA;3;2;NA;3;3;1;2;6;6;4;9;5;8;12;16;17;27;23;37;38;55;54;59;69;96;109;74;94;52;35;13
2013;1903;2;1;NA;1;NA;1;1;NA;2;2;NA;NA;1;NA;NA;2;3;NA;3;5;6;10;6;10;11;16;14;20;17;26;21;36;40;35;40;44;30;18;16;6
2013;1904;NA;NA;NA;1;NA;NA;NA;NA;NA;1;NA;1;NA;2;1;2;NA;1;1;4;5;3;4;6;6;11;11;9;11;24;8;23;27;34;30;29;32;15;9;5
2013;1905;2;1;NA;NA;NA;1;NA;NA;NA;1;NA;1;NA;2;1;2;NA;1;2;NA;4;7;2;10;4;11;6;11;6;11;21;15;27;41;41;24;40;19;11;3
2013;1906;NA;2;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA;NA;1;2;NA;3;1;4;5;8;2;11;5;14;8;15;16;17;18;15;26;8;8;2
2013;1907;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;1;NA;3;4;3;2;3;8;7;9;13;8;16;17;17;18;34;32;32;50;30;42;30;18;3
2013;1908;1;1;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;1;6;4;14;2;8;6;12;4;14;4;24;12;11;30;23;17;13;6;2
2013;1909;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;2;NA;2;1;NA;1;1;4;4;3;3;4;9;9;12;8;22;17;19;12;20;25;29;36;25;37;11;12;3
2013;1910;2;NA;NA;NA;NA;NA;NA;2;NA;1;NA;1;NA;1;1;3;1;2;3;6;3;6;9;6;7;12;18;23;17;27;22;32;47;51;58;43;59;25;23;9
2013;1911;NA;1;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;NA;NA;1;2;1;1;2;5;3;7;4;10;6;17;13;10;16;16;20;15;28;22;14;14;8;2
2013;2011;1;1;NA;NA;NA;NA;NA;NA;NA;NA;1;2;NA;2;3;2;1;4;2;3;6;8;4;6;13;14;14;20;10;23;21;20;41;50;41;50;50;29;19;10
2013;2012;4;4;NA;NA;NA;NA;1;NA;NA;1;NA;1;NA;2;1;2;2;2;2;4;8;10;7;18;11;12;16;22;13;21;16;30;40;44;51;25;48;26;13;9
2013;2013;NA;2;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;2;6;5;2;2;4;10;8;9;18;5;16;18;22;24;30;41;28;23;10;17;2
2013;2014;NA;NA;NA;1;NA;NA;NA;1;NA;1;1;NA;1;NA;1;NA;NA;NA;1;NA;2;4;6;7;8;8;11;14;7;22;18;20;28;20;37;20;20;14;16;6
2013;2015;NA;2;NA;NA;NA;NA;NA;1;NA;1;1;NA;NA;NA;1;1;1;5;1;3;2;7;4;8;11;10;6;17;13;19;23;24;26;31;42;38;54;23;22;10
2013;2101;2;NA;1;NA;NA;NA;1;1;NA;NA;1;1;NA;2;1;NA;NA;NA;3;6;4;10;5;3;4;10;11;20;9;28;21;32;35;35;36;29;43;25;24;11
2013;2102;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;1;NA;2;NA;3;1;2;1;3;5;14;10;4;7;5;9;2
2013;2103;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1;NA;NA;1;1;2;1;1;2;NA;4;NA;4;3;1;NA;7;1;6;10;9;13;10;11;6;13;2
