EREIGNISJAHR_N;Bezirk;1_F;1_M;2_F;2_M;3_F;3_M;4_F;4_M;5_F;5_M;6_F;6_M;7_F;7_M;8_F;8_M;9_F;9_M;10_F;10_M;11_F;11_M;12_F;12_M;13_F;13_M;14_F;14_M;15_F;15_M;16_F;16_M;17_F;17_M;18_F;18_M;19_F;19_M;20_F;20_M
2010;504;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;NA;NA;1;NA;NA;1;1;1;1;2;1;3;6;3;7;1;6;7;3;4;9;4;4;NA;1
2010;505;2;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;1;NA;NA;1;1;4;2;2;3;2;4;5;2;11;6;10;3;15;10;13;20;16;26;13;11;8;9;3
2010;506;NA;NA;NA;NA;NA;NA;2;NA;NA;1;1;2;1;1;1;2;3;4;NA;2;2;2;2;7;5;11;14;15;10;16;21;21;27;38;44;28;44;20;26;6
2010;600;NA;1;NA;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA;1;1;1;3;1;4;NA;2;1;5;3;8;3;6;8;10;13;16;16;14;40;17;20;13;16;4
2010;700;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;1;2;1;NA;2;2;2;2;3;3;2;6;7;7;13;6;11;5;18;11;16;27;33;34;31;21;10;16;6
2010;800;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;NA;NA;1;NA;3;2;5;5;7;4;12;5;9;8;14;12;14;21;32;40;27;44;40;35;20;24;7
2010;900;2;3;NA;NA;NA;1;1;NA;NA;NA;1;NA;1;NA;2;1;1;6;1;9;8;15;10;17;16;19;15;32;32;36;28;42;55;61;68;70;76;25;35;10
2010;1001;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;1;1;3;3;4;3;8;4;9;3;8;3;9;10;14;10;7;16;16;16;3;3;2
2010;1002;NA;1;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;3;1;1;2;1;4;4;4;5;4;8;4;2;2;12;7;12;17;13;20;9;12;4;6;NA
2010;1003;NA;NA;NA;2;NA;NA;1;1;NA;NA;2;1;NA;NA;NA;2;NA;4;1;4;3;9;7;14;6;17;8;11;16;13;13;27;26;24;38;23;27;18;16;4
2010;1004;1;NA;NA;NA;1;NA;NA;NA;NA;1;NA;3;1;3;2;1;3;6;2;8;8;11;9;17;14;31;17;40;27;25;28;35;50;57;83;52;64;20;24;13
2010;1005;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;NA;2;2;1;2;2;2;1;4;4;1;1;5;4;3;8;11;10;11;17;14;24;17;13;11;9;6
2010;1006;NA;NA;NA;NA;1;NA;NA;1;NA;NA;NA;2;1;2;2;1;1;1;3;5;3;5;3;6;6;11;11;12;11;15;13;22;28;24;35;23;25;5;11;6
2010;1007;NA;1;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;1;1;NA;1;5;2;3;1;4;2;5;1;2;1;5;3;7;13;10;5;8;5;2;NA;1
